id_venta;producto;cantidad;precio_unitario;fecha;cliente
10;Smartwatch;1;300;2025-03-19;Susana López
69;Laptop;1;700;2025-03-10;David Rodríguez
6;Smartphone;3;700;2025-03-01;Pedro López
43;Laptop;4;300;2025-03-29;Marta Sánchez
48;Smartwatch;2;250;2025-03-28;Ana Gómez
17;Laptop;3;300;2025-03-06;Pedro López
46;TV;3;150;2025-03-06;Elena Fernández
35;Tablet;1;300;2025-03-19;Carlos Ruiz
8;Tablet;2;150;2025-03-12;David Rodríguez
79;Laptop;1;250;2025-03-22;Pedro López
28;Smartphone;3;300;2025-03-28;Susana López
20;Laptop;3;700;2025-03-22;Ana Gómez
85;TV;4;700;2025-03-02;Marta Sánchez
26;Tablet;5;300;2025-03-30;Laura Díaz
54;Smartwatch;4;700;2025-03-14;Susana López
14;Smartphone;2;250;2025-03-14;Marta Sánchez
25;TV;1;700;2025-03-21;Susana López
4;Smartwatch;3;250;2025-03-03;Javier Martínez
18;Smartwatch;4;150;2025-03-13;Javier Martínez
39;TV;5;150;2025-03-17;Carlos Ruiz
9;Tablet;2;150;2025-03-27;Elena Fernández
88;TV;1;150;2025-03-08;Susana López
7;Tablet;5;1200;2025-03-16;Ana Gómez
65;Smartphone;3;300;2025-03-01;Susana López
37;Tablet;5;700;2025-03-03;Elena Fernández
81;Smartwatch;1;250;2025-03-02;Laura Díaz
90;Tablet;1;700;2025-03-09;Javier Martínez
55;Tablet;4;150;2025-03-21;Javier Martínez
44;Smartphone;5;700;2025-03-14;Pedro López
51;Laptop;1;250;2025-03-24;Juan Pérez
